,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
353,3.7794166386148,7.4099,7.4027216357519015,1.7701,2.009,1.9566506327721,0.07,0
354,10.615541795666,18.3119,17.834466442953,4.9522,0.4,0.1665583243048,0.524,1
355,6.1170651401205,0.0,47.51407396171606,0.0,1.202,0.98715704252509,0.0,0
356,6.9657568760692,12.2303,12.302829590467999,1.4509999999999998,2.685,1.0871071812642,0.0,0
362,15.149447567699001,23.6309,23.64439579874,4.0913,3.919,3.7544194107452,0.0,1
363,17.036662060797,21.7717,21.707175553320003,2.4919,1.009,0.042733103406547,0.277,1
366,10.080637281226,34.8333,34.771537406167,4.4922,0.962,0.61611721611722,0.303,1
370,8.0284905888031,7.8224,7.537395786135,0.8,1.44,1.7272307781046,0.556,1
371,14.840125176183,17.6312,17.377650037038,4.3878,1.433,0.09020303702209698,0.184,1
374,2.4945785211744,0.0,47.51407396171606,0.6936,2.297,1.5993938906937,-0.095,0
375,8.9920276853463,11.0112,9.3087453526709,1.6952,0.907,0.5206753111007499,0.511,1
376,2.2082530488965,13.5789,13.313217900559001,0.6641,1.228,1.091533180778,0.526,1
379,8.441733410137099,6.8415,6.7971688175248,1.047,4.094020797227,0.7508548526863101,0.083,1
380,11.486903609379999,10.7281,10.224952586901999,1.4627,1.952,1.1284207837901,0.479,1
384,6.1582145606268,0.0,47.51407396171606,1.2344,1.001,0.77454285422413,0.0,1
385,4.543755476434598,11.1441,11.003447671034,0.8022,0.027281917535298,0.023081324504105,0.0,1
387,6.7430481850534,11.2513,10.806824372624,1.6886,1.4282873926796,1.34215996385,0.036000000000000004,1
388,16.459388912994,10.1083,9.7929148059805,3.8421,0.78696668497676,0.29107041903395003,0.361,1
390,5.130039377171499,10.8627,10.711742767577,0.8993,0.643,0.44848752586668,0.317,0
391,11.826199527976,17.3874,17.21796330875,5.0824,0.9,0.66753134457415,0.385,1
395,5.455658308951,0.0,47.51407396171606,0.0,2.659,1.9171258640575,0.0,1
399,3.0307818615752,3.5446,3.5472,4.3401,1.402,0.89905591866376,0.168,0
400,4.5553083173435,9.9042,9.900102651650599,1.5633,0.175,0.06954451674337403,0.0,1
402,7.936484996572402,0.0,47.51407396171606,0.6971,1.641,1.2848788638262,0.0,0
404,6.0228947308833005,12.2909,12.292542141809001,2.2348,1.69,1.6971247519692,0.0,1
405,16.299277788786,8.0881,7.9431326082044995,5.7036,2.343,2.2816901408451,0.17600000000000002,1
406,8.3358147826087,14.1481,13.565358962264,3.7617,1.856,0.72450223486388,0.426,0
409,3.9627359881237,7.9298,7.7061473996122,1.5913,3.269,3.1891358740336,0.439,0
410,17.357186030943,8.1224,8.0084428924429,3.4304,1.4469999999999998,1.0827516992838,0.034,1
411,15.271770378875,39.5263,39.470955489614,3.7153,1.113,0.83179916317992,0.0,1
412,14.167254166666998,17.5845,17.478116515945,3.2007,3.125,2.7972632337053995,0.222,0
413,15.404979124028001,0.0,47.51407396171606,4.6082,1.229,0.88827891059461,0.0,1
417,3.0106597826598,4.8074,4.6875319283526,0.6039,0.7070000000000001,0.46923941622528,0.0,0
419,6.8598189923469,10.835,10.145440652707,1.1292,0.08217557627001401,0.061490640275751,0.315,1
420,8.1634780669622,17.5935,17.529839962848,6.1609,1.166,0.99901020723786,0.455,1
422,5.9539031166838,6.907,6.9453739768394005,3.1106,1.917,0.8699437692726301,0.332,1
